"category","sales","ship_date","product_id","city","profit","state","zipcode","row_id","region","ship_mode","order_id","segment","sub_category","order_date","quantity","discount","country","customer_name","product_name","customer_id"
"Office Supplies","82.896","2014-02-08","OFF-BI-10004230","San Diego","29.0136","California","92024","1544","West","Standard Class","CA-2014-107181","Home Office","Binders","2014-02-04","3","","United States","Deborah Brumfield","GBC Recycled Grain Textured Covers","DB-13270"
"Office Supplies","34.24","2014-02-08","OFF-PA-10000350","San Diego","16.0928","California","92024","1545","West","Standard Class","CA-2014-107181","Home Office","Paper","2014-02-04","4","0","United States","Deborah Brumfield","Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book","DB-13270"
"Furniture","1573.488","2015-01-04","FUR-BO-10002613","Watertown","196.686","New York","13601","1546","East","Second Class","CA-2014-150245","Corporate","Bookcases","2014-12-31","7","","United States","Pamela Coakley","Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors","PC-18745"
"Office Supplies","335.52","2015-11-27","OFF-PA-10000994","San Antonio","117.432","Texas","78207","1547","Central","Standard Class","CA-2015-111395","Corporate","Paper","2015-11-23","4","","United States","Victoria Brennan","Xerox 1915","VB-21745"
"Office Supplies","23.912","2015-11-27","OFF-BI-10002867","San Antonio","-40.6504","Texas","78207","1548","Central","Standard Class","CA-2015-111395","Corporate","Binders","2015-11-23","2","","United States","Victoria Brennan","GBC Recycled Regency Composition Covers","VB-21745"
"Office Supplies","27.056","2015-11-27","OFF-ST-10001291","San Antonio","2.3674","Texas","78207","1549","Central","Standard Class","CA-2015-111395","Corporate","Storage","2015-11-23","2","","United States","Victoria Brennan","Tenex Personal Self-Stacking Standard File Box, Black/Gray","VB-21745"
"Technology","559.992","2014-07-08","TEC-CO-10001046","New York City","174.9975","New York","10011","1550","East","First Class","CA-2014-134278","Consumer","Copiers","2014-07-06","1","","United States","Emily Phan","Canon Imageclass D680 Copier / Fax","EP-13915"
"Office Supplies","9.324","2017-11-18","OFF-AP-10004868","Houston","-24.7086","Texas","77095","1551","Central","Second Class","US-2017-124926","Home Office","Appliances","2017-11-13","6","","United States","Maria Etezadi","Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags","ME-17320"
"Office Supplies","111.96","2016-06-22","OFF-PA-10000806","San Diego","54.8604","California","92024","1552","West","Standard Class","CA-2016-159345","Consumer","Paper","2016-06-17","2","0","United States","Ivan Gibson","Xerox 1934","IG-15085"
"Office Supplies","21.56","2014-05-05","OFF-LA-10002195","Appleton","10.3488","Wisconsin","54915","1553","Central","First Class","CA-2014-130274","Home Office","Labels","2014-05-03","7","0","United States","Joni Sundaresam","Avery 481","JS-15940"
"Office Supplies","124.75","2017-10-21","OFF-BI-10003719","Richmond","57.385","Kentucky","40475","1554","South","Standard Class","CA-2017-158386","Consumer","Binders","2017-10-16","5","0","United States","Bobby Odegard","Large Capacity Hanging Post Binders","BO-11425"
"Office Supplies","5.28","2015-02-13","OFF-AR-10001315","Bellevue","1.5312","Washington","98006","1555","West","Standard Class","CA-2015-111507","Corporate","Art","2015-02-06","3","0","United States","Victoria Wilson","Newell 310","VW-21775"
"Technology","91.96","2017-09-08","TEC-AC-10000171","Long Beach","39.5428","New York","11561","1556","East","Standard Class","CA-2017-120761","Consumer","Accessories","2017-09-04","4","0","United States","Aimee Bixby","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack","AB-10150"
"Office Supplies","9.344","2016-05-15","OFF-EN-10003134","Philadelphia","3.504","Pennsylvania","19140","1557","East","Standard Class","CA-2016-109176","Consumer","Envelopes","2016-05-09","1","","United States","Julia West","Staple envelope","JW-16075"
"Office Supplies","79.36","2016-05-15","OFF-AR-10001955","Philadelphia","9.92","Pennsylvania","19140","1558","East","Standard Class","CA-2016-109176","Consumer","Art","2016-05-09","5","","United States","Julia West","Newell 319","JW-16075"
"Furniture","171.96","2015-03-18","FUR-TA-10001039","Seattle","44.7096","Washington","98103","1559","West","Second Class","CA-2015-112116","Consumer","Tables","2015-03-16","2","0","United States","Jeremy Ellison","KI Adjustable-Height Table","JE-15475"
"Office Supplies","35.352","2016-04-13","OFF-BI-10003712","Seattle","12.8151","Washington","98103","1560","West","Standard Class","CA-2016-126809","Corporate","Binders","2016-04-09","9","","United States","Edward Becker","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue","EB-13750"
"Office Supplies","18.9","2014-04-09","OFF-LA-10001641","San Francisco","9.072","California","94109","1561","West","Standard Class","CA-2014-105172","Home Office","Labels","2014-04-04","6","0","United States","Paul Knutson","Avery 518","PK-18910"
"Office Supplies","2.78","2017-09-06","OFF-AR-10003732","Seattle","0.7228","Washington","98115","1562","West","First Class","CA-2017-107293","Home Office","Art","2017-09-05","1","0","United States","Christopher Schild","Newell 333","CS-12400"
"Furniture","1044.63","2017-06-30","FUR-TA-10000577","New York City","-295.9785","New York","10011","1563","East","Same Day","US-2017-102890","Consumer","Tables","2017-06-30","5","","United States","Sheri Gordon","Bretford CR4500 Series Slim Rectangular Table","SG-20470"
"Office Supplies","11.352","2015-11-09","OFF-PA-10004000","Philadelphia","4.1151","Pennsylvania","19134","1564","East","Same Day","CA-2015-158554","Consumer","Paper","2015-11-09","3","","United States","Charlotte Melton","While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle","CM-12190"
"Office Supplies","354.9","2014-03-04","OFF-ST-10001370","Columbia","17.745","South Carolina","29203","1565","South","Same Day","CA-2014-116239","Consumer","Storage","2014-03-04","5","0","United States","Clay Ludtke","Sensible Storage WireTech Storage Systems","CL-12565"
"Technology","453.576","2015-03-25","TEC-PH-10004539","Seattle","39.6879","Washington","98105","1566","West","Standard Class","CA-2015-132101","Home Office","Phones","2015-03-19","3","","United States","Jesus Ocampo","Wireless Extenders zBoost YX545 SOHO Signal Booster","JO-15550"
"Technology","21.48","2015-11-30","TEC-AC-10003038","Allen","-0.2685","Texas","75002","1567","Central","First Class","CA-2015-129112","Consumer","Accessories","2015-11-29","3","","United States","Anthony Witt","Kingston Digital DataTraveler 16GB USB 2.0","AW-10840"
"Office Supplies","8.784","2015-11-30","OFF-BI-10000088","Allen","-13.6152","Texas","75002","1568","Central","First Class","CA-2015-129112","Consumer","Binders","2015-11-29","4","","United States","Anthony Witt","GBC Imprintable Covers","AW-10840"
"Office Supplies","122.97","2017-06-11","OFF-PA-10000357","Los Angeles","60.2553","California","90004","1569","West","Same Day","US-2017-152002","Consumer","Paper","2017-06-11","3","0","United States","Dianna Vittorini","White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11","DV-13465"
"Office Supplies","12.84","2017-11-30","OFF-AR-10003504","Atlanta","3.7236","Georgia","30318","1570","South","Standard Class","CA-2017-165029","Corporate","Art","2017-11-26","3","0","United States","Adam Hart","Newell 347","AH-10075"
"Furniture","603.92","2014-11-25","FUR-CH-10000863","Los Angeles","-67.941","California","90004","1571","West","First Class","US-2014-157385","Consumer","Chairs","2014-11-23","5","","United States","Sanjit Chand","Novimex Swivel Fabric Task Chair","SC-20095"
"Office Supplies","21.84","2014-11-25","OFF-EN-10003160","Los Angeles","10.4832","California","90004","1572","West","First Class","US-2014-157385","Consumer","Envelopes","2014-11-23","3","0","United States","Sanjit Chand","Pastel Pink Envelopes","SC-20095"
"Technology","29.99","2014-11-25","TEC-AC-10003280","Los Angeles","6.2979","California","90004","1573","West","First Class","US-2014-157385","Consumer","Accessories","2014-11-23","1","0","United States","Sanjit Chand","Belkin F8E887 USB Wired Ergonomic Keyboard","SC-20095"
"Furniture","381.44","2014-11-25","FUR-CH-10000595","Los Angeles","23.84","California","90004","1574","West","First Class","US-2014-157385","Consumer","Chairs","2014-11-23","2","","United States","Sanjit Chand","Safco Contoured Stacking Chairs","SC-20095"
"Technology","40.68","2014-12-18","TEC-PH-10000169","El Paso","-9.153","Texas","79907","1575","Central","First Class","CA-2014-101602","Consumer","Phones","2014-12-15","3","","United States","Mick Crebagga","ARKON Windshield Dashboard Air Vent Car Mount Holder","MC-18100"
"Furniture","763.28","2014-12-18","FUR-CH-10004675","El Paso","-21.808","Texas","79907","1576","Central","First Class","CA-2014-101602","Consumer","Chairs","2014-12-15","5","","United States","Mick Crebagga","Lifetime Advantage Folding Chairs, 4/Carton","MC-18100"
"Office Supplies","23.952","2016-04-27","OFF-ST-10002406","Aurora","2.3952","Illinois","60505","1577","Central","Standard Class","CA-2016-109057","Home Office","Storage","2016-04-22","2","","United States","Tonja Turnell","Pizazz Global Quick File","TT-21460"
"Office Supplies","4.98","2016-05-27","OFF-PA-10001526","Florence","2.4402","Alabama","35630","1578","South","Standard Class","CA-2016-154403","Home Office","Paper","2016-05-23","1","0","United States","Anne Pryor","Xerox 1949","AP-10720"
"Office Supplies","170.88","2016-03-01","OFF-AP-10004336","New York City","49.5552","New York","10011","1579","East","First Class","CA-2016-102456","Consumer","Appliances","2016-02-27","3","0","United States","Dan Lawera","Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit","DL-12865"
"Technology","307.98","2015-08-12","TEC-PH-10003012","New York City","89.3142","New York","10024","1580","East","First Class","CA-2015-131338","Consumer","Phones","2015-08-09","2","0","United States","Naresj Patel","Nortel Meridian M3904 Professional Digital phone","NP-18325"
"Furniture","382.806","2015-08-12","FUR-TA-10002607","New York City","-153.1224","New York","10024","1581","East","First Class","CA-2015-131338","Consumer","Tables","2015-08-09","9","","United States","Naresj Patel","KI Conference Tables","NP-18325"
"Office Supplies","41.96","2015-08-12","OFF-ST-10000642","New York City","2.9372","New York","10024","1582","East","First Class","CA-2015-131338","Consumer","Storage","2015-08-09","2","0","United States","Naresj Patel","Tennsco Lockers, Gray","NP-18325"
"Office Supplies","1217.568","2015-08-12","OFF-BI-10000545","New York City","456.588","New York","10024","1583","East","First Class","CA-2015-131338","Consumer","Binders","2015-08-09","2","","United States","Naresj Patel","GBC Ibimaster 500 Manual ProClick Binding System","NP-18325"
"Furniture","47.04","2015-08-12","FUR-FU-10002157","New York City","18.3456","New York","10024","1584","East","First Class","CA-2015-131338","Consumer","Furnishings","2015-08-09","3","0","United States","Naresj Patel","Artistic Insta-Plaque","NP-18325"
"Furniture","6.16","2015-08-12","FUR-FU-10001706","New York City","2.9568","New York","10024","1585","East","First Class","CA-2015-131338","Consumer","Furnishings","2015-08-09","2","0","United States","Naresj Patel","Longer-Life Soft White Bulbs","NP-18325"
"Technology","979.95","2015-08-12","TEC-PH-10000984","New York City","274.386","New York","10024","1586","East","First Class","CA-2015-131338","Consumer","Phones","2015-08-09","5","0","United States","Naresj Patel","Panasonic KX-TG9471B","NP-18325"
"Office Supplies","143.7","2015-08-12","OFF-PA-10001357","New York City","68.976","New York","10024","1587","East","First Class","CA-2015-131338","Consumer","Paper","2015-08-09","3","0","United States","Naresj Patel","Xerox 1886","NP-18325"
"Office Supplies","10.65","2015-08-12","OFF-FA-10000992","New York City","5.0055","New York","10024","1588","East","First Class","CA-2015-131338","Consumer","Fasteners","2015-08-09","3","0","United States","Naresj Patel","Acco Clips to Go Binder Clips, 24 Clips in Two Sizes","NP-18325"
"Technology","247.8","2015-08-12","TEC-AC-10002600","New York City","34.692","New York","10024","1589","East","First Class","CA-2015-131338","Consumer","Accessories","2015-08-09","4","0","United States","Naresj Patel","Belkin QODE FastFit Bluetooth Keyboard","NP-18325"
"Office Supplies","10.96","2016-05-16","OFF-AR-10001662","Virginia Beach","2.9592","Virginia","23464","1590","South","Standard Class","CA-2016-109911","Corporate","Art","2016-05-12","4","0","United States","Vivek Grady","Rogers Handheld Barrel Pencil Sharpener","VG-21805"
"Office Supplies","33.488","2016-04-19","OFF-AR-10001221","Grapevine","5.8604","Texas","76051","1591","Central","Standard Class","US-2016-132423","Corporate","Art","2016-04-15","7","","United States","Muhammed Yedwab","Dixon Ticonderoga Erasable Colored Pencil Set, 12-Color","MY-18295"
"Office Supplies","8.04","2016-04-19","OFF-FA-10002988","Grapevine","2.9145","Texas","76051","1592","Central","Standard Class","US-2016-132423","Corporate","Fasteners","2016-04-15","5","","United States","Muhammed Yedwab","Ideal Clamps","MY-18295"
"Technology","201.568","2015-06-25","TEC-PH-10004830","Olympia","22.6764","Washington","98502","1593","West","Second Class","CA-2015-122826","Consumer","Phones","2015-06-23","4","","United States","Rick Duston","Pyle PRT45 Retro Home Telephone","RD-19480"
"Office Supplies","13.44","2014-10-19","OFF-PA-10004519","Los Angeles","6.5856","California","90032","1594","West","Same Day","CA-2014-117317","Consumer","Paper","2014-10-19","3","0","United States","Jeremy Farry","Spiral Phone Message Books with Labels by Adams","JF-15490"
"Furniture","359.058","2015-03-27","FUR-BO-10000362","Peoria","-35.9058","Illinois","61604","1595","Central","First Class","CA-2015-118423","Home Office","Bookcases","2015-03-24","3","","United States","Dennis Pardue","Sauder Inglewood Library Bookcases","DP-13390"
"Furniture","47.992","2017-05-12","FUR-CH-10004540","Columbus","-2.0568","Ohio","43229","1596","East","Standard Class","CA-2017-149181","Consumer","Chairs","2017-05-08","2","","United States","Maribeth Dona","Global Chrome Stack Chair","MD-17350"
"Furniture","547.3","2017-10-18","FUR-FU-10001290","New York City","175.136","New York","10011","1597","East","First Class","CA-2017-132234","Corporate","Furnishings","2017-10-16","13","0","United States","Maribeth Yedwab","Executive Impressions Supervisor Wall Clock","MY-17380"
"Office Supplies","16.896","2017-11-21","OFF-PA-10000308","Carrollton","5.28","Texas","75007","1598","Central","Second Class","CA-2017-158876","Consumer","Paper","2017-11-19","4","","United States","Aimee Bixby","Xerox 1901","AB-10150"
"Office Supplies","6.672","2017-11-21","OFF-SU-10001165","Carrollton","0.5004","Texas","75007","1599","Central","Second Class","CA-2017-158876","Consumer","Supplies","2017-11-19","1","","United States","Aimee Bixby","Acme Elite Stainless Steel Scissors","AB-10150"
"Office Supplies","99.136","2017-11-21","OFF-AR-10003373","Carrollton","8.6744","Texas","75007","1600","Central","Second Class","CA-2017-158876","Consumer","Art","2017-11-19","4","","United States","Aimee Bixby","Boston School Pro Electric Pencil Sharpener, 1670","AB-10150"
"Furniture","15.992","2017-11-21","FUR-FU-10001967","Carrollton","-13.993","Texas","75007","1601","Central","Second Class","CA-2017-158876","Consumer","Furnishings","2017-11-19","2","","United States","Aimee Bixby","Telescoping Adjustable Floor Lamp","AB-10150"
"Furniture","211.96","2016-05-13","FUR-FU-10001488","Dover","42.392","Delaware","19901","1602","East","Second Class","CA-2016-164672","Corporate","Furnishings","2016-05-08","2","0","United States","George Bell","Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped","GB-14530"
"Office Supplies","6.672","2016-12-17","OFF-AR-10003251","Smyrna","1.668","Tennessee","37167","1603","South","Standard Class","US-2016-132857","Consumer","Art","2016-12-11","3","","United States","Cynthia Arntzen","Prang Drawing Pencil Set","CA-12775"
"Office Supplies","155.94","2017-12-04","OFF-AR-10001044","Newark","45.2226","Delaware","19711","1604","East","Standard Class","CA-2017-116645","Consumer","Art","2017-11-30","6","0","United States","Max Engle","BOSTON Ranger #55 Pencil Sharpener, Black","ME-17725"
"Technology","39.96","2016-04-24","TEC-PH-10004700","Los Angeles","12.987","California","90049","1605","West","Second Class","US-2016-115819","Consumer","Phones","2016-04-19","5","","United States","Jas O'Carroll","PowerGen Dual USB Car Charger","JO-15280"
"Office Supplies","5.46","2016-04-24","OFF-AR-10000823","Los Angeles","1.5288","California","90049","1606","West","Second Class","US-2016-115819","Consumer","Art","2016-04-19","3","0","United States","Jas O'Carroll","Newell 307","JO-15280"
"Office Supplies","73.2","2016-04-24","OFF-AR-10004456","Los Angeles","21.228","California","90049","1607","West","Second Class","US-2016-115819","Consumer","Art","2016-04-19","5","0","United States","Jas O'Carroll","Panasonic KP-4ABK Battery-Operated Pencil Sharpener","JO-15280"
"Office Supplies","5.84","2016-04-24","OFF-BI-10000050","Los Angeles","1.971","California","90049","1608","West","Second Class","US-2016-115819","Consumer","Binders","2016-04-19","1","","United States","Jas O'Carroll","Angle-D Binders with Locking Rings, Label Holders","JO-15280"
"Office Supplies","22.72","2016-04-24","OFF-PA-10002377","Los Angeles","10.224","California","90049","1609","West","Second Class","US-2016-115819","Consumer","Paper","2016-04-19","4","0","United States","Jas O'Carroll","Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages","JO-15280"
"Office Supplies","9.336","2016-04-24","OFF-BI-10000591","Los Angeles","3.2676","California","90049","1610","West","Second Class","US-2016-115819","Consumer","Binders","2016-04-19","3","","United States","Jas O'Carroll","Avery Binder Labels","JO-15280"
"Furniture","290.666","2014-05-30","FUR-BO-10000362","Los Angeles","27.3568","California","90008","1611","West","Standard Class","CA-2014-156349","Corporate","Bookcases","2014-05-26","2","","United States","Marina Lichtenstein","Sauder Inglewood Library Bookcases","ML-17395"
"Technology","201.584","2014-05-30","TEC-PH-10000441","Los Angeles","20.1584","California","90008","1612","West","Standard Class","CA-2014-156349","Corporate","Phones","2014-05-26","2","","United States","Marina Lichtenstein","VTech DS6151","ML-17395"
"Technology","83.984","2014-05-30","TEC-PH-10002726","Los Angeles","31.494","California","90008","1613","West","Standard Class","CA-2014-156349","Corporate","Phones","2014-05-26","2","","United States","Marina Lichtenstein","netTALK DUO VoIP Telephone Service","ML-17395"
"Office Supplies","1000.02","2017-12-25","OFF-ST-10003306","Oakland","290.0058","California","94601","1614","West","Standard Class","CA-2017-138380","Corporate","Storage","2017-12-21","7","0","United States","Yana Sorensen","Letter Size Cart","YS-21880"
"Technology","83.976","2016-03-19","TEC-AC-10004855","Philadelphia","-13.6461","Pennsylvania","19143","1615","East","Standard Class","US-2016-113509","Home Office","Accessories","2016-03-15","3","","United States","Paul Lucas","V7 USB Numeric Keypad","PL-18925"
"Office Supplies","3.75","2015-08-16","OFF-LA-10002787","Eagan","1.8","Minnesota","55122","1616","Central","Standard Class","CA-2015-130022","Home Office","Labels","2015-08-10","1","0","United States","Julie Kriz","Avery 480","JK-16120"
"Office Supplies","41.4","2015-08-16","OFF-LA-10002043","Eagan","19.872","Minnesota","55122","1617","Central","Standard Class","CA-2015-130022","Home Office","Labels","2015-08-10","4","0","United States","Julie Kriz","Avery 489","JK-16120"
"Office Supplies","29.79","2015-08-16","OFF-AR-10001915","Eagan","12.5118","Minnesota","55122","1618","Central","Standard Class","CA-2015-130022","Home Office","Art","2015-08-10","3","0","United States","Julie Kriz","Peel-Off China Markers","JK-16120"
"Office Supplies","59.48","2016-09-14","OFF-ST-10000352","New York City","8.922","New York","10011","1619","East","Second Class","US-2016-118780","Home Office","Storage","2016-09-10","2","0","United States","Parhena Norris","Acco Perma 2700 Stacking Storage Drawers","PN-18775"
"Office Supplies","6.69","2016-09-14","OFF-PA-10000575","New York City","3.0774","New York","10011","1620","East","Second Class","US-2016-118780","Home Office","Paper","2016-09-10","1","0","United States","Parhena Norris","Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page","PN-18775"
"Furniture","198.46","2017-07-15","FUR-FU-10002937","Kent","99.23","Washington","98031","1621","West","Standard Class","CA-2017-108560","Consumer","Furnishings","2017-07-08","2","0","United States","Jenna Caffey","GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box","JC-15385"
"Office Supplies","786.48","2017-07-15","OFF-LA-10003930","Kent","385.3752","Washington","98031","1622","West","Standard Class","CA-2017-108560","Consumer","Labels","2017-07-08","8","0","United States","Jenna Caffey","Dot Matrix Printer Tape Reel Labels, White, 5000/Box","JC-15385"
"Office Supplies","23.168","2017-07-15","OFF-BI-10001107","Kent","7.8192","Washington","98031","1623","West","Standard Class","CA-2017-108560","Consumer","Binders","2017-07-08","2","","United States","Jenna Caffey","GBC White Gloss Covers, Plain Front","JC-15385"
"Technology","50.0","2017-07-15","TEC-AC-10003063","Kent","10.5","Washington","98031","1624","West","Standard Class","CA-2017-108560","Consumer","Accessories","2017-07-08","2","0","United States","Jenna Caffey","Micro Innovations USB RF Wireless Keyboard with Mouse","JC-15385"
"Technology","675.96","2015-12-24","TEC-PH-10002922","Los Angeles","84.495","California","90049","1625","West","Standard Class","CA-2015-157084","Consumer","Phones","2015-12-19","5","","United States","James Galang","ShoreTel ShorePhone IP 230 VoIP phone","JG-15160"
"Technology","1265.85","2015-12-24","TEC-AC-10002049","Los Angeles","556.974","California","90049","1626","West","Standard Class","CA-2015-157084","Consumer","Accessories","2015-12-19","3","0","United States","James Galang","Plantronics Savi W720 Multi-Device Wireless Headset System","JG-15160"
"Office Supplies","523.25","2015-11-22","OFF-AP-10002457","New York City","141.2775","New York","10011","1627","East","Standard Class","CA-2015-164539","Home Office","Appliances","2015-11-16","5","0","United States","Philisse Overcash","Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red","PO-19180"
"Furniture","517.5","2015-09-30","FUR-CH-10001270","Lafayette","155.25","Louisiana","70506","1628","South","Standard Class","CA-2015-143119","Consumer","Chairs","2015-09-24","6","0","United States","Marc Crier","Harbour Creations Steel Folding Chair","MC-17275"
"Furniture","17.92","2017-06-25","FUR-FU-10004415","Cleveland","2.464","Ohio","44105","1629","East","Second Class","CA-2017-101049","Consumer","Furnishings","2017-06-21","5","","United States","Alan Shonely","Stacking Tray, Side-Loading, Legal, Smoke","AS-10240"
"Office Supplies","41.256","2017-06-25","OFF-BI-10001510","Cleveland","-34.38","Ohio","44105","1630","East","Second Class","CA-2017-101049","Consumer","Binders","2017-06-21","6","","United States","Alan Shonely","Deluxe Heavy-Duty Vinyl Round Ring Binder","AS-10240"
"Office Supplies","1006.056","2016-05-08","OFF-ST-10002011","Cleveland","88.0299","Ohio","44105","1631","East","Same Day","CA-2016-106530","Consumer","Storage","2016-05-08","3","","United States","Clay Ludtke","Smead Adjustable Mobile File Trolley with Lockable Top","CL-12565"
"Office Supplies","10.688","2016-05-08","OFF-PA-10002986","Cleveland","3.7408","Ohio","44105","1632","East","Same Day","CA-2016-106530","Consumer","Paper","2016-05-08","2","","United States","Clay Ludtke","Xerox 1898","CL-12565"
"Office Supplies","10.368","2016-05-08","OFF-PA-10004451","Cleveland","3.6288","Ohio","44105","1633","East","Same Day","CA-2016-106530","Consumer","Paper","2016-05-08","2","","United States","Clay Ludtke","Xerox 222","CL-12565"
"Office Supplies","25.12","2016-05-08","OFF-ST-10000649","Cleveland","1.57","Ohio","44105","1634","East","Same Day","CA-2016-106530","Consumer","Storage","2016-05-08","2","","United States","Clay Ludtke","Hanging Personal Folder File","CL-12565"
"Technology","58.112","2016-05-08","TEC-AC-10001465","Cleveland","7.264","Ohio","44105","1635","East","Same Day","CA-2016-106530","Consumer","Accessories","2016-05-08","2","","United States","Clay Ludtke","SanDisk Cruzer 64 GB USB Flash Drive","CL-12565"
"Office Supplies","15.552","2014-12-02","OFF-PA-10001166","Tigard","5.4432","Oregon","97224","1636","West","Standard Class","CA-2014-168984","Consumer","Paper","2014-11-26","3","","United States","Natalie Webber","Xerox 2","NW-18400"
"Office Supplies","669.08","2014-12-02","OFF-ST-10001097","Tigard","-167.27","Oregon","97224","1637","West","Standard Class","CA-2014-168984","Consumer","Storage","2014-11-26","5","","United States","Natalie Webber","Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers","NW-18400"
"Technology","438.336","2014-12-02","TEC-PH-10000038","Tigard","-87.6672","Oregon","97224","1638","West","Standard Class","CA-2014-168984","Consumer","Phones","2014-11-26","4","","United States","Natalie Webber","Jawbone MINI JAMBOX Wireless Bluetooth Speaker","NW-18400"
"Office Supplies","19.44","2016-06-01","OFF-PA-10002689","Washington","9.3312","District of Columbia","20016","1639","East","Standard Class","CA-2016-157266","Consumer","Paper","2016-05-26","3","0","United States","Toby Braunhardt","Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright)","TB-21280"
"Office Supplies","9.64","2016-06-01","OFF-BI-10004728","Washington","4.4344","District of Columbia","20016","1640","East","Standard Class","CA-2016-157266","Consumer","Binders","2016-05-26","2","0","United States","Toby Braunhardt","Wilson Jones Turn Tabs Binder Tool for Ring Binders","TB-21280"
"Office Supplies","12.7","2016-06-01","OFF-PA-10004675","Washington","5.842","District of Columbia","20016","1641","East","Standard Class","CA-2016-157266","Consumer","Paper","2016-05-26","2","0","United States","Toby Braunhardt","Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""","TB-21280"
"Furniture","41.37","2016-06-01","FUR-FU-10000629","Washington","17.3754","District of Columbia","20016","1642","East","Standard Class","CA-2016-157266","Consumer","Furnishings","2016-05-26","3","0","United States","Toby Braunhardt","9-3/4 Diameter Round Wall Clock","TB-21280"
"Office Supplies","12.624","2014-12-04","OFF-FA-10003112","Skokie","3.945","Illinois","60076","1643","Central","Standard Class","US-2014-134712","Corporate","Fasteners","2014-11-29","2","","United States","Bill Stewart","Staples","BS-11380"
"Office Supplies","1247.64","2015-03-20","OFF-ST-10000142","Seattle","349.3392","Washington","98115","1644","West","First Class","CA-2015-111829","Corporate","Storage","2015-03-19","3","0","United States","Fred Hopkins","Deluxe Rollaway Locking File with Drawer","FH-14365"
"Technology","3149.93","2015-03-20","TEC-CO-10001766","Seattle","1480.467","Washington","98115","1645","West","First Class","CA-2015-111829","Corporate","Copiers","2015-03-19","7","0","United States","Fred Hopkins","Canon PC940 Copier","FH-14365"
"Office Supplies","209.7","2015-03-20","OFF-PA-10004359","Seattle","100.656","Washington","98115","1646","West","First Class","CA-2015-111829","Corporate","Paper","2015-03-19","2","0","United States","Fred Hopkins","Multicolor Computer Printout Paper","FH-14365"
"Technology","35.36","2015-11-03","TEC-AC-10002323","Philadelphia","-3.094","Pennsylvania","19140","1647","East","First Class","CA-2015-105221","Home Office","Accessories","2015-11-01","2","","United States","Valerie Mitchum","SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card","VM-21685"
"Office Supplies","3.168","2015-11-03","OFF-FA-10001135","Philadelphia","-0.7128","Pennsylvania","19140","1648","East","First Class","CA-2015-105221","Home Office","Fasteners","2015-11-01","2","","United States","Valerie Mitchum","Brites Rubber Bands, 1 1/2 oz. Box","VM-21685"
"Office Supplies","121.104","2015-09-29","OFF-BI-10004224","Philadelphia","-100.92","Pennsylvania","19143","1649","East","Second Class","CA-2015-120341","Consumer","Binders","2015-09-26","6","","United States","Sarah Foster","Catalog Binders with Expanding Posts","SF-20200"
"Technology","45.894","2015-09-29","TEC-PH-10003357","Philadelphia","-9.1788","Pennsylvania","19143","1650","East","Second Class","CA-2015-120341","Consumer","Phones","2015-09-26","1","","United States","Sarah Foster","Grandstream GXP2100 Mainstream Business Phone","SF-20200"
"Office Supplies","109.92","2014-08-29","OFF-PA-10004475","San Francisco","53.8608","California","94110","1651","West","Same Day","CA-2014-135699","Corporate","Paper","2014-08-29","2","0","United States","Hilary Holden","Xerox 1940","HH-15010"
"Office Supplies","13.36","2014-08-29","OFF-PA-10003001","San Francisco","6.4128","California","94110","1652","West","Same Day","CA-2014-135699","Corporate","Paper","2014-08-29","2","0","United States","Hilary Holden","Xerox 1986","HH-15010"
"Office Supplies","169.68","2017-11-21","OFF-ST-10003442","Seattle","45.8136","Washington","98105","1653","West","First Class","US-2017-132444","Consumer","Storage","2017-11-18","6","0","United States","Christina DeMoss","Eldon Portable Mobile Manager","CD-12280"
"Technology","132.52","2017-11-21","TEC-AC-10003832","Seattle","54.3332","Washington","98105","1654","West","First Class","US-2017-132444","Consumer","Accessories","2017-11-18","4","0","United States","Christina DeMoss","Imation 16GB Mini TravelDrive USB 2.0 Flash Drive","CD-12280"
"Office Supplies","2.96","2017-11-21","OFF-FA-10000611","Seattle","1.4208","Washington","98105","1655","West","First Class","US-2017-132444","Consumer","Fasteners","2017-11-18","2","0","United States","Christina DeMoss","Binder Clips by OIC","CD-12280"
